,0.ID,0.dist,1.ID,1.dist,3.ID,3.dist,5.ID,5.dist,6.ID,6.dist,8.ID,8.dist,9.ID,9.dist,10.ID,10.dist,13.ID,13.dist,14.ID,14.dist,20.ID,20.dist,22.ID,22.dist,23.ID,23.dist,85.ID,85.dist,95.ID,95.dist,160.ID,160.dist,123.ID,123.dist
50,39,0.0405,19,0.0394,16,0.0394,153,0.0421,65,0.0454,74,0.0443,115,0.0403,184,0.0499,146,0.0353,104,0.0454,16,0.0395,59,0.049,143,0.0344,2,0.0447,0,0.0387,123,0.0408,10,0.0432
51,40,0.0406,59,0.0398,123,0.0403,84,0.043,115,0.046,6,0.0445,40,0.041,74,0.0506,74,0.0356,153,0.0469,40,0.0402,19,0.0491,1,0.0359,140,0.0453,19,0.0395,146,0.0408,65,0.0432
52,10,0.0411,32,0.0404,8,0.0414,7,0.0437,15,0.0463,101,0.0457,19,0.0429,112,0.0512,15,0.0364,16,0.0471,140,0.0407,123,0.0512,6,0.0359,19,0.0454,140,0.0403,16,0.0419,9,0.0434
53,74,0.0411,115,0.0409,73,0.0416,29,0.0447,153,0.0483,170,0.0463,123,0.0434,85,0.0519,67,0.0365,110,0.0472,73,0.0423,191,0.0512,160,0.037,7,0.0454,123,0.0409,8,0.0432,15,0.0447
54,3,0.0418,8,0.042,0,0.0418,104,0.0461,4,0.0505,140,0.048,8,0.0436,32,0.0526,32,0.038,50,0.0474,19,0.0456,50,0.0538,14,0.0377,16,0.0473,16,0.0414,84,0.0432,6,0.0454
55,32,0.0435,10,0.0428,84,0.0436,73,0.0471,85,0.0514,20,0.048,84,0.0454,115,0.0533,85,0.0401,73,0.0487,123,0.0461,10,0.0545,50,0.0383,73,0.051,73,0.0437,50,0.0433,170,0.046
56,6,0.0443,38,0.0436,104,0.0447,4,0.0477,42,0.0525,32,0.0484,140,0.0455,22,0.0545,38,0.0402,0,0.049,104,0.0465,69,0.056,112,0.0389,6,0.0514,8,0.0441,0,0.0458,20,0.0461
57,69,0.0447,14,0.0449,140,0.0501,38,0.0482,84,0.0555,65,0.0503,38,0.0497,65,0.0546,84,0.0402,38,0.0497,69,0.0476,104,0.0567,74,0.0394,39,0.0517,38,0.0455,15,0.0485,55,0.0462
58,22,0.0453,15,0.0495,50,0.0502,22,0.0486,38,0.0576,126,0.053,104,0.0516,104,0.0549,42,0.0406,140,0.051,8,0.048,8,0.0574,19,0.04,40,0.0518,50,0.0472,104,0.0503,39,0.0467
59,160,0.0458,42,0.0507,38,0.0517,50,0.05,50,0.0601,39,0.0545,50,0.0522,84,0.0568,140,0.042,29,0.0525,38,0.0493,16,0.0583,15,0.043,10,0.0519,69,0.0474,38,0.0528,28,0.0469
60,15,0.0487,39,0.0527,15,0.0525,55,0.0587,104,0.0607,55,0.0546,42,0.0525,69,0.0569,50,0.0448,15,0.0589,50,0.0532,73,0.0591,140,0.0466,69,0.0521,104,0.0494,140,0.0562,29,0.0502
61,14,0.049,50,0.0537,42,0.0554,69,0.0591,140,0.0612,42,0.0549,15,0.0548,50,0.0571,28,0.0503,39,0.0638,42,0.0549,39,0.0642,40,0.0471,104,0.0547,15,0.0534,42,0.0606,22,0.0512
62,126,0.0507,69,0.055,55,0.0612,39,0.0609,69,0.0628,104,0.0555,69,0.0577,42,0.0608,104,0.0527,126,0.0639,15,0.0563,55,0.0647,42,0.048,28,0.0615,39,0.0556,69,0.0656,104,0.0553
63,112,0.0521,104,0.0563,69,0.062,15,0.0618,28,0.0638,29,0.0563,28,0.0633,126,0.0692,39,0.0532,42,0.0649,39,0.0608,15,0.0679,104,0.0489,56,0.0616,42,0.0568,55,0.0671,69,0.0586
64,104,0.0556,28,0.0601,39,0.0658,28,0.0658,55,0.0676,22,0.0574,39,0.0633,140,0.071,55,0.0532,69,0.0653,55,0.0655,42,0.0686,55,0.0504,126,0.0652,55,0.0568,39,0.069,126,0.0592
65,55,0.0559,55,0.0606,28,0.069,42,0.0689,39,0.0726,69,0.0587,55,0.0676,39,0.0743,69,0.0568,55,0.0663,126,0.0664,126,0.0752,126,0.0506,55,0.0659,126,0.0657,28,0.071,112,0.0601
66,42,0.0597,126,0.0692,126,0.075,126,0.0716,126,0.0778,112,0.066,126,0.072,55,0.079,126,0.0676,28,0.0746,28,0.0675,28,0.0813,39,0.0536,15,0.0686,28,0.0714,126,0.0741,42,0.0632
67,56,0.0836,56,0.0898,56,0.0948,56,0.0968,56,0.1083,56,0.0758,56,0.0965,56,0.1143,56,0.0931,56,0.0788,56,0.0954,56,0.0935,56,0.0833,42,0.0729,56,0.0908,56,0.101,56,0.0794
